fips_code,duration_h_mean,duration_h_max,duration_h_sum,max_outage_rate_mean,max_outage_rate_max,mean_outage_rate_mean,PSVI_score,PSVI_rating
6035,106.09375,404,848.75,0.010721831,0.033521127,0.006504514,0.034349112,Major
6037,2.246688742,101.25,678.5,0.001772245,0.010600961,0.001512849,0.016208774,Minor
6039,3.741788321,23,1025.25,0.00810246,0.06166078,0.005480684,0.023959622,Moderate
6041,4.970125786,162,1580.5,0.008767999,0.276378433,0.005208063,0.041250015,Severe
6043,11.8296875,119,1892.75,0.031334823,0.375974324,0.020856318,0.055963684,Extreme
6045,6.947278912,163.25,2042.5,0.01173385,0.454876682,0.006666148,0.053702208,Severe
6047,4.233208955,46.5,1134.5,0.011554645,0.098685,0.007013742,0.028243634,Major
6049,32.43461538,202.75,2108.25,0.047398449,0.329610538,0.022279879,0.066125114,Extreme
6051,60.96794872,281.5,4755.5,0.059298888,0.421768707,0.026058617,0.125437959,Extreme
6053,3.985294118,166,1355,0.006556234,0.214877899,0.00431816,0.035429102,Major
6055,7.173344948,88.75,2058.75,0.010806041,0.316189786,0.006716472,0.050142827,Severe
6057,5.396718147,121.5,1397.75,0.012298871,0.265354422,0.008279048,0.037942877,Severe
6059,1.601265823,10.5,506,0.002124642,0.016680221,0.001847961,0.010791654,Minor
6061,4.106870229,118.75,1076,0.007516694,0.28800071,0.005348383,0.030212217,Major
6063,21.36538462,111,2222,0.048143489,0.559514865,0.029142792,0.070326344,Extreme
6065,2.501077586,167.5,1160.5,0.002443931,0.016396216,0.00205645,0.027609162,Major
6067,1.582089552,81.25,318,0.005671007,0.316502664,0.00375609,0.014033648,Minor
6069,14.97107438,92.5,1811.5,0.011670984,0.230292327,0.007064987,0.044819864,Severe
6071,3.354020979,33,1918.5,0.0027384,0.027341079,0.002076564,0.039324928,Severe
6073,2.602230483,29.75,700,0.002521329,0.037443789,0.002101902,0.01551194,Minor
6075,4.283018868,60.5,1589,0.00491075,0.123243166,0.003051311,0.035554714,Major
6077,2.422374429,60.25,530.5,0.005526055,0.140180744,0.004057446,0.015372745,Minor
6079,3.975378788,59.75,1574.25,0.008469086,0.247538027,0.005488424,0.038165309,Severe
6081,3.261138614,75.75,1317.5,0.005502525,0.248942918,0.00350658,0.032491928,Major
6083,3.611550633,46.25,1141.25,0.00480714,0.073838971,0.003716433,0.0258895,Moderate
6085,2.26875,68.25,907.5,0.003531962,0.172789862,0.002599075,0.022633612,Moderate
6087,4.878985507,150.75,1683.25,0.010300238,0.307812354,0.005722238,0.043826855,Severe
6089,6.62254902,83.5,1013.25,0.007808694,0.09584293,0.005847181,0.025810222,Moderate
6091,77.24545455,578.5,4248.5,0.065907421,0.450771492,0.030661686,0.126293238,Extreme
6093,6.60016835,68,1960.25,0.020394186,0.225707326,0.012635952,0.049752144,Severe
6095,4.199056604,85.25,1112.75,0.008183305,0.218903266,0.005035502,0.029253807,Major
6097,4.158354115,207.75,1667.5,0.006476422,0.243040429,0.003954928,0.042856541,Severe
6099,4.274390244,23.5,175.25,0.006559386,0.062151627,0.006068721,0.007197844,Minor
6101,5.813793103,120,843,0.010757908,0.521917451,0.005164158,0.029530596,Major
6103,8.839005236,343,1688.25,0.015351106,0.132453638,0.010127691,0.048501744,Severe
6105,493.4666667,1210,7402,0.35588904,1.227830832,0.083283817,0.302531161,Extreme
6107,3.557432432,29.75,1053,0.00313153,0.025340788,0.002551225,0.022505777,Moderate
6109,5.936298077,70.25,1234.75,0.021297699,0.252916645,0.015046148,0.036678545,Major
6111,5.394670051,686.75,2125.5,0.004983359,0.089209592,0.003460253,0.06124784,Extreme
6113,5.552259887,98.75,982.75,0.007002031,0.111633884,0.004515057,0.02530895,Moderate
6115,6.568181818,122.25,1156,0.013593813,0.680646693,0.007642454,0.038974658,Severe
8001,2.347826087,72,432,0.006293877,0.097185304,0.00481042,0.013484499,Minor
8003,23.04794521,159.25,1682.5,0.030905534,0.841242998,0.016725606,0.058544976,Extreme
8005,2.491586538,68.25,518.25,0.005391654,0.069177776,0.004326218,0.014414181,Minor
8007,22.36885246,125.75,1364.5,0.044872035,0.966979934,0.028490644,0.058601451,Extreme
8009,54.59090909,144.5,600.5,0.005820149,0.006311993,0.005820149,0.019512968,Moderate
8013,4.546979866,86.5,677.5,0.009882594,0.267178503,0.006749731,0.022165381,Moderate
