SCHOOL_YEAR,SCH_NAME,LEA_NAME,STATE,ST,MCITY,MSTATE,NCESSCH,SCHID,LAT,LON,LOCALE
2023-2024,LA VERNIA H S,LA VERNIA ISD,TEXAS,TX,LA VERNIA,TX,482631002968,4802968,29.352087,-98.123389,42
2023-2024,LA VILLA EARLY COLLEGE H S,LA VILLA ISD,TEXAS,TX,LA VILLA,TX,482634006130,4806130,26.295147,-97.931988,31
2023-2024,LAGO VISTA H S,LAGO VISTA ISD,TEXAS,TX,LAGO VISTA,TX,482640002973,4802973,30.441277,-97.978685,41
2023-2024,LAKE TRAVIS H S,LAKE TRAVIS ISD,TEXAS,TX,AUSTIN,TX,482647005763,4805763,30.327959,-97.966869,21
2023-2024,LAKE WORTH H S,LAKE WORTH ISD,TEXAS,TX,LAKE WORTH,TX,482649002978,4802978,32.820421,-97.417332,21
2023-2024,LAMAR CONS H S,LAMAR CISD,TEXAS,TX,ROSENBERG,TX,482658002988,4802988,29.560382,-95.77922,21
2023-2024,FOSTER H S,LAMAR CISD,TEXAS,TX,RICHMOND,TX,482658008559,4808559,29.627162,-95.810081,41
2023-2024,GEORGE RANCH H S,LAMAR CISD,TEXAS,TX,RICHMOND,TX,482658011891,4811891,29.516876,-95.6913,21
2023-2024,FULSHEAR H S,LAMAR CISD,TEXAS,TX,FULSHEAR,TX,482658013110,4813110,29.69757,-95.886672,21
2023-2024,DR THOMAS E RANDLE H S,LAMAR CISD,TEXAS,TX,RICHMOND,TX,482658013860,4813860,29.498148,-95.752697,41
2023-2024,LAMPASAS H S,LAMPASAS ISD,TEXAS,TX,LAMPASAS,TX,482664002998,4802998,31.039546,-98.186241,41
2023-2024,LANCASTER H S,LANCASTER ISD,TEXAS,TX,LANCASTER,TX,482667003003,4803003,32.617154,-96.761969,21
2023-2024,MARTIN H S,LAREDO ISD,TEXAS,TX,LAREDO,TX,482679003023,4803023,27.518055,-99.505497,11
2023-2024,NIXON H S,LAREDO ISD,TEXAS,TX,LAREDO,TX,482679003025,4803025,27.5261,-99.4754,11
2023-2024,HECTOR J GARCIA EARLY COLLEGE H S,LAREDO ISD,TEXAS,TX,LAREDO,TX,482679011365,4811365,27.569398,-99.438024,41
2023-2024,LASARA H S,LASARA ISD,TEXAS,TX,LASARA,TX,482685011951,4811951,26.463427,-97.907342,42
2023-2024,LEANDER H S,LEANDER ISD,TEXAS,TX,LEANDER,TX,482703003042,4803042,30.537572,-97.851136,21
2023-2024,STEP - JJAEP,LEANDER ISD,TEXAS,TX,GEORGETOWN,TX,482703007758,4807758,30.61834,-97.659021,13
2023-2024,CEDAR PARK H S,LEANDER ISD,TEXAS,TX,CEDAR PARK,TX,482703008089,4808089,30.471867,-97.843371,21
2023-2024,VISTA RIDGE H S,LEANDER ISD,TEXAS,TX,LEANDER,TX,482703009436,4809436,30.516798,-97.786159,21
2023-2024,NEW HOPE H S,LEANDER ISD,TEXAS,TX,LEANDER,TX,482703009437,4809437,30.573837,-97.854505,21
2023-2024,ROUSE H S,LEANDER ISD,TEXAS,TX,LEANDER,TX,482703011944,4811944,30.571515,-97.819875,41
2023-2024,VANDEGRIFT H S,LEANDER ISD,TEXAS,TX,AUSTIN,TX,482703012156,4812156,30.398385,-97.824676,11
2023-2024,GLENN H S,LEANDER ISD,TEXAS,TX,LEANDER,TX,482703013500,4813500,30.59897,-97.882821,21
2023-2024,CAMPUS 007,LEANDER ISD,TEXAS,TX,LEANDER,TX,482703014336,4814336,30.577659,-97.854781,21
2023-2024,LEONARD H S,LEONARD ISD,TEXAS,TX,LEONARD,TX,482721003054,4803054,33.389957,-96.241894,42
2023-2024,LEVELLAND H S,LEVELLAND ISD,TEXAS,TX,LEVELLAND,TX,482724003057,4803057,33.58374,-102.349732,32
2023-2024,LEVERETTS CHAPEL H S,LEVERETTS CHAPEL ISD,TEXAS,TX,LAIRD HILL,TX,482727003063,4803063,32.312488,-94.921302,42
